x;y;v;theta;t
1112.49;1001.78;11.72;-0.876006;372
1120.08;992.672;11.8517;-0.876006;373
1127.84;983.362;12.12;-0.876006;374
1135.27;974.44;11.6136;-0.876006;375
1142.71;965.514;11.6201;-0.876006;376
1153.79;963.408;11.2757;-0.187887;377
1164.5;961.37;10.9072;-0.187887;378
1175.64;959.252;11.3406;-0.187887;379
1186.57;957.175;11.1225;-0.187887;380
1197.17;955.159;10.7907;-0.187887;381
1207.73;953.152;10.7453;-0.187887;382
1217.78;951.241;10.2318;-0.187887;383
1227.67;949.361;10.0647;-0.187887;384
1237.83;947.43;10.3404;-0.187887;385
1248.37;945.425;10.732;-0.187887;386
1259.44;943.321;11.2668;-0.187887;387
1270.68;941.183;11.4437;-0.187887;388
1282.38;938.959;11.9076;-0.187887;389
1293.99;936.751;11.8213;-0.187887;390
1306.02;934.464;12.241;-0.187887;391
1318.08;932.172;12.2751;-0.187887;392
1329.61;929.978;11.7437;-0.187887;393
1340.58;927.893;11.161;-0.187887;394
1351.61;925.795;11.2331;-0.187887;395
1362.75;923.677;11.342;-0.187887;396
1373.65;921.605;11.091;-0.187887;397
1384.88;919.47;11.4309;-0.187887;398
1395.99;917.358;11.3075;-0.187887;399
1407.2;915.406;11.3834;-0.172333;400
1416;922.226;11.1319;0.659404;401
1424.85;929.083;11.193;0.659404;402
1435.85;931.912;11.3605;0.251659;403
1446.19;935.254;10.862;0.312707;404
1456.93;938.728;11.2949;0.312707;405
1467.96;942.294;11.5895;0.312707;406
1478.91;945.835;11.5102;0.312707;407
1489.78;949.348;11.4209;0.312707;408
1498.9;955.711;11.1195;0.609241;409
1508.54;962.204;11.6252;0.592575;410
1519.35;957.842;11.6564;-0.383522;411
1530.09;953.507;11.5847;-0.383522;412
1540.37;949.363;11.077;-0.383522;413
1550.87;945.123;11.3304;-0.383522;414
1561.75;940.733;11.7326;-0.383522;415
1573.12;943.314;11.6575;0.223294;416
1584.16;945.819;11.3139;0.223294;417
1595.37;948.366;11.5002;0.223294;418
1606.75;950.951;11.6731;0.223294;419
1618.41;953.598;11.9523;0.223294;420
1627.13;961.618;11.8489;0.743479;421
1635.89;969.673;11.9012;0.743479;422
1644.97;978.02;12.3315;0.743479;423
1644.83;990.944;12.9252;1.58154;424
1644.7;1003.39;12.447;1.58154;425
1644.56;1015.86;12.4686;1.58154;426
1644.43;1028.06;12.2012;1.58154;427
1644.3;1040.27;12.2166;1.58154;428
1644.17;1052.77;12.4931;1.58154;429
1634.19;1060.3;12.5031;2.49516;430
1624.53;1067.59;12.1025;2.49516;431
1615.02;1074.76;11.9016;2.49516;432
1605.83;1081.7;11.5186;2.49516;433
1596.95;1089.81;12.025;2.40117;434
1588.43;1097.6;11.5503;2.40117;435
1579.92;1105.37;11.5182;2.40117;436
1573.19;1114.66;11.476;2.19784;437
1564.67;1122.26;11.4189;2.41371;438
1555.81;1130.15;11.8593;2.41371;439
1546.76;1138.21;12.1235;2.41371;440
1538.15;1145.89;11.5316;2.41371;441
1529.51;1153.59;11.5737;2.41371;442
1518;1155.16;11.6173;3.00577;443
1506.31;1156.76;11.7956;3.00577;444
1494.89;1158.32;11.5284;3.00577;445
1483.97;1159.81;11.0247;3.00577;446
